graph,partitioner,replication_factor,num_partitions,V
barabasi-50000-20.txt,2D,11.6735,64,50000
barabasi-2500000-20.txt,HDRF,12.9204,64,2500000
barabasi-10000000-20.txt,HEP-100,6.58325,64,10000000
barabasi-10000000-20.txt,NE,6.58196,64,10000000
barabasi-2500000-20.txt,HEP-1,6.53895,64,2500000
barabasi-2500000-20.txt,NE,6.60287,64,2500000
barabasi-7500000-20.txt,NE,6.58841,64,7500000
barabasi-10000000-20.txt,CRVC,24.4845,64,10000000
barabasi-5000000-20.txt,HEP-100,6.59801,64,5000000
barabasi-50000-20.txt,HDRF,12.8865,64,50000
barabasi-50000-20.txt,1DS,17.9894,64,50000
barabasi-7500000-20.txt,1DS,17.953,64,7500000
barabasi-10000000-20.txt,2D,11.6053,64,10000000
barabasi-50000-20.txt,HEP-100,6.73622,64,50000
barabasi-2500000-20.txt,1DS,17.9554,64,2500000
barabasi-5000000-20.txt,1DS,17.9535,64,5000000
barabasi-7500000-20.txt,2D,11.6208,64,7500000
barabasi-2500000-20.txt,2PS,12.6538,64,2500000
barabasi-10000000-20.txt,2PS,12.5931,64,10000000
barabasi-5000000-20.txt,1DD,13.1678,64,5000000
barabasi-10000000-20.txt,HEP-1,6.50399,64,10000000
barabasi-7500000-20.txt,HEP-10,6.59722,64,7500000
barabasi-5000000-20.txt,CRVC,24.5213,64,5000000
barabasi-50000-20.txt,HEP-10,6.62934,64,50000
barabasi-50000-20.txt,1DD,13.2532,64,50000
barabasi-5000000-20.txt,HEP-1,6.52384,64,5000000
barabasi-7500000-20.txt,CRVC,24.5023,64,7500000
barabasi-50000-20.txt,CRVC,24.5795,64,50000
barabasi-10000000-20.txt,1DS,17.9508,64,10000000
barabasi-7500000-20.txt,HEP-100,6.58973,64,7500000
barabasi-10000000-20.txt,HDRF,12.8468,64,10000000
barabasi-7500000-20.txt,HEP-1,6.51255,64,7500000
barabasi-50000-20.txt,2PS,12.626,64,50000
barabasi-5000000-20.txt,2D,11.6374,64,5000000
barabasi-2500000-20.txt,CRVC,24.5398,64,2500000
barabasi-5000000-20.txt,HEP-10,6.60417,64,5000000
barabasi-10000000-20.txt,HEP-10,6.59116,64,10000000
barabasi-5000000-20.txt,2PS,12.6316,64,5000000
barabasi-2500000-20.txt,HEP-10,6.61049,64,2500000
barabasi-7500000-20.txt,1DD,13.1385,64,7500000
barabasi-50000-20.txt,NE,6.63322,64,50000
barabasi-2500000-20.txt,HEP-100,6.60723,64,2500000
barabasi-5000000-20.txt,NE,6.59509,64,5000000
barabasi-5000000-20.txt,HDRF,12.8953,64,5000000
barabasi-7500000-20.txt,2PS,12.6114,64,7500000
barabasi-50000-20.txt,HEP-1,6.55398,64,50000
barabasi-7500000-20.txt,HDRF,12.8693,64,7500000
barabasi-2500000-20.txt,1DD,13.196,64,2500000
barabasi-2500000-20.txt,2D,11.6528,64,2500000
barabasi-10000000-20.txt,1DD,13.1132,64,10000000
